Process;ID test;Module;Rôle;Point à vérifier;Étapes;Résultat attendu;Statut;Criticité;Commentaires;Test Unitaire;Test Fonctionnel;Procédure de réalisation
Validation DSI;VALD-02;Validation DSI;DSI;Validation de la prise en charge;1. Ouvrir une demande 2. Cliquer sur Valider;La validation est possible et déclenche la création du projet;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DSI;VALD-03;Création projet;DSI;Création automatique du projet;1. Valider la demande 2. Ouvrir la fiche projet associée;Le projet est créé automatiquement et lié à la demande;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DSI;VALD-04;Gestion projet;DSI;Statut initial du projet;1. Ouvrir le projet créé;Statut = Validé pour analyse;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DSI;VALD-05;Gestion projet;DSI;Affectation du Chef de Projet;1. Ouvrir la fiche projet 2. Vérifier le champ Chef de Projet;L'affectation d'un chef de projet est possible;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Validation DSI;VALD-06;Validation DSI;DSI;Rejet avec commentaire;1. Cliquer Rejeter 2. Ajouter un commentaire;Statut = Rejeté (DSI);Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DSI;VALD-07;Validation DSI;DSI;Rejet sans commentaire;1. Cliquer rejeter sans saisir de texte;L'action est bloquée;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Validation DSI;VALD-08;Notification;DSI;Notification après rejet;1. Rejeter la demande 2. Vérifier les mails;Le demandeur et le directeur métier reçoivent une notification;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Validation DSI;VALD-09;Workflow;DSI;Retour vers demandeur;1. Cliquer Retour demandeur 2. Ajouter commentaire;Statut = Retour demandeur (DSI);Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Validation DSI;VALD-10;Workflow;DSI;Retour vers Directeur métier;1. Cliquer Retour Directeur métier;Statut = Retour Directeur métier (DSI);Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Validation DSI;VALD-11;Délégation;DSI;Activation de la délégation;1. Paramétrer une délégation avec période 2. Enregistrer;La délégation est enregistrée dans le système;Non testé;Majeure;Test de sécurité - validation unitaire et fonctionnelle requises;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Validation DSI;VALD-12;Délégation;Responsable Solutions IT & Projets;Validation par délégataire;1. Se connecter pendant la période de délégation 2. Ouvrir une demande;Le délégataire peut valider la demande;Non testé;Bloquante;Test de sécurité - validation unitaire et fonctionnelle requises;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Validation DSI;VALD-13;Délégation;Responsable Solutions IT & Projets;Fin de délégation;1. Tester validation hors période;L'action est refusée;Non testé;Bloquante;Test de sécurité - validation unitaire et fonctionnelle requises;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Portefeuille;PORT-01;Portefeuille;Utilisateur;Colonne Numéro de projet;1. Ouvrir le portefeuille projets;La colonne Numéro de projet est visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-02;Portefeuille;Utilisateur;Colonne Titre du projet;1. Ouvrir le portefeuille;La colonne Titre est visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-03;Portefeuille;Utilisateur;Colonne Direction métier;1. Ouvrir le portefeuille;La colonne Direction métier est visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-04;Portefeuille;Utilisateur;Colonne Demandeur;1. Ouvrir le portefeuille;La colonne Demandeur est visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-05;Portefeuille;Utilisateur;Colonne Sponsor;1. Ouvrir le portefeuille;La colonne Sponsor est visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-06;Portefeuille;Utilisateur;Colonne Chef de Projet DSI;1. Ouvrir le portefeuille;La colonne Chef de Projet est visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-07;Portefeuille;Utilisateur;Statut global du projet;1. Ouvrir la liste;Le statut du projet est visible et cohérent;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Portefeuille;PORT-08;Portefeuille;Utilisateur;Phase en cours;1. Ouvrir portefeuille;La phase en cours est affichée correctement;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-09;Portefeuille;Utilisateur;% d'avancement;1. Ouvrir portefeuille;Le pourcentage d'avancement est visible et mis à jour;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-10;Portefeuille;Utilisateur;État projet;1. Vérifier la colonne État;Valeurs: Vert / Orange / Rouge;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-11;Portefeuille;Utilisateur;Dates projet;1. Vérifier les colonnes dates;Dates présentes: demande, validation, début, fin prévisionnelle, fin réelle;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-12;Portefeuille;Utilisateur;Filtre Direction métier;1. Appliquer filtre direction;Le filtrage fonctionne correctement;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-13;Portefeuille;Utilisateur;Filtre Chef de Projet;1. Filtrer par chef de projet;La liste se met à jour correctement;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-14;Portefeuille;Utilisateur;Filtre Statut projet;1. Filtrer par statut;Filtrage correct;Non testé;Majeure;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Portefeuille;PORT-15;Portefeuille;Utilisateur;Filtre Phase projet;1. Filtrer par phase;Filtrage correct;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-16;Portefeuille;Directeur métier;Visibilité par direction;1. Se connecter en Directeur métier 2. Ouvrir portefeuille;Le directeur métier ne voit que les projets de sa direction;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-17;Portefeuille;DSI;Visibilité DSI;1. Se connecter en DSI;Tous les projets sont visibles;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Portefeuille;PORT-18;Portefeuille;Admin IT;Visibilité Admin IT;1. Se connecter en Admin IT;Tous les projets sont visibles;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Analyse;ANA-01;Équipe projet;Chef de projet / DSI;Ajout membre – Nom;1. Ouvrir la section Équipe projet 2. Cliquer sur Ajouter membre 3. Saisir le nom;Le champ est présent et la donnée est sauvegardée;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Analyse;ANA-02;Équipe projet;Chef de projet / DSI;Ajout membre – Rôle;1. Ajouter membre 2. Renseigner le rôle;Le rôle est enregistré correctement;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Analyse;ANA-03;Équipe projet;Chef de projet / DSI;Ajout membre – Direction;1. Ajouter membre 2. Sélectionner la direction;La direction est sauvegardée;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Analyse;ANA-04;Équipe projet;Chef de projet / DSI;Modification d'un membre;1. Ouvrir fiche membre 2. Modifier les informations;Les modifications sont enregistrées;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Analyse;ANA-05;Clarification;Chef de projet;Notes de clarification;1. Saisir un texte dans la zone notes 2. Enregistrer;La note est sauvegardée correctement;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Analyse;ANA-06;Clarification;Chef de projet;Décisions prises;1. Saisir une décision;La décision est enregistrée;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Analyse;ANA-07;Clarification;Chef de projet;Hypothèses projet;1. Saisir hypothèse;L'hypothèse est sauvegardée;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Analyse;ANA-08;Documents;Chef de projet;Upload cahier d'analyse technique;1. Cliquer joindre fichier 2. Importer document;Upload réussi et fichier visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Analyse;ANA-09;Documents;Chef de projet;Upload note de cadrage;1. Joindre fichier;Upload réussi;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Analyse;ANA-10;Gestion des risques;Chef de projet;Champ Description du risque;1. Cliquer créer risque;Champ description disponible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Analyse;ANA-11;Gestion des risques;Chef de projet;Champ Probabilité;1. Créer risque;Champ probabilité visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Analyse;ANA-12;Gestion des risques;Chef de projet;Champ Impact;1. Créer risque;Champ impact disponible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Analyse;ANA-13;Gestion des risques;Chef de projet;Champ Plan de mitigation;1. Créer risque;Champ plan de mitigation visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Analyse;ANA-14;Gestion des risques;Chef de projet;Champ Responsable du risque;1. Créer risque;Champ responsable présent;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Analyse;ANA-15;Gestion des risques;Chef de projet;Champ Statut du risque;1. Créer risque;Champ statut disponible;Non testé;Majeure;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Analyse;ANA-16;Gestion des risques;Chef de projet;Création d'un risque complet;1. Remplir tous les champs 2. Enregistrer;Le risque est créé dans le registre des risques;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Analyse;ANA-17;Gestion des risques;Chef de projet;Modification d'un risque;1. Modifier un risque existant 2. Enregistrer;La mise à jour est correcte;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Charte Projet;CHR-01;Formulaire charte;Chef de projet;Champ Objectifs;1. Ouvrir la fiche projet 2. Accéder à la section Charte;Le champ Objectifs est visible et modifiable;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Charte Projet;CHR-02;Formulaire charte;Chef de projet;Champ Périmètre;1. Ouvrir le formulaire charte;Le champ Périmètre est visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Charte Projet;CHR-03;Formulaire charte;Chef de projet;Champ Contraintes;1. Ouvrir le formulaire charte;Le champ Contraintes est visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Charte Projet;CHR-04;Formulaire charte;Chef de projet;Champ Risques initiaux;1. Ouvrir formulaire charte;Le champ Risques initiaux est visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Charte Projet;CHR-05;Saisie;Chef de projet;Enregistrement des données de charte;1. Remplir les champs 2. Cliquer Enregistrer;Les données sont sauvegardées;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Charte Projet;CHR-06;PDF;Chef de projet;Génération de la charte en PDF;1. Cliquer Générer PDF;Le document PDF est généré;Non testé;Bloquante;Test critique - couverture complète requise;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Charte Projet;CHR-07;PDF;Chef de projet;Exactitude du contenu PDF;1. Ouvrir le PDF généré;Les informations correspondent aux données saisies;Non testé;Bloquante;Test critique - couverture complète requise;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Charte Projet;CHR-08;Archivage;Chef de projet;PDF archivé dans le projet;1. Accéder à la section Documents;Le PDF est disponible dans le projet;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Charte Projet;CHR-09;Notifications;Chef de projet;Envoi mail Directeur métier / DSI;1. Activer l'option notification 2. Générer charte;Mail envoyé automatiquement;Non testé;Moyenne;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Charte Projet;CHR-10;Signature;Chef de projet;Upload charte signée;1. Cliquer joindre document 2. Importer PDF signé;Upload réussi;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Charte Projet;CHR-11;Statut projet;Chef de projet;Champ Charte validée;1. Consulter le projet;Le champ indique Oui;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Charte Projet;CHR-12;Workflow projet;Chef de projet;Passage vers phase planification;1. Consulter le projet;Statut: Charte validée – prêt pour planification;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-01;Livrables de planification;Chef de projet;Zone upload WBS;1. Ouvrir la phase Planification;La zone d'upload WBS est visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-02;Livrables de planification;Chef de projet;Zone upload Planning détaillé;1. Ouvrir la phase Planification;La zone d'upload Planning est visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-03;Livrables de planification;Chef de projet;Zone upload Matrice RACI;1. Ouvrir la phase Planification;La zone d'upload RACI est visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-04;Livrables de planification;Chef de projet;Zone upload Schéma de communication;1. Ouvrir la phase Planification;La zone d'upload Schéma communication est visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-05;Livrables de planification;Chef de projet;Champ Budget prévisionnel;1. Ouvrir la phase Planification;Champ budget visible et saisissable;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-06;Livrables de planification;Chef de projet;Zone upload PV Kick-off;1. Ouvrir la phase Planification;Zone d'upload visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-07;Documents;Chef de projet;Upload WBS;1. Joindre document WBS;Upload réussi;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-08;Documents;Chef de projet;Upload Planning détaillé;1. Joindre document Planning;Upload réussi;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-09;Documents;Chef de projet;Upload Matrice RACI;1. Joindre document RACI;Upload réussi;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-10;Documents;Chef de projet;Upload Schéma communication;1. Joindre document;Upload réussi;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-11;Budget;Chef de projet;Upload ou saisie Budget prévisionnel;1. Joindre document budget ou saisir montant;Enregistrement correct;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-12;Documents;Chef de projet;Upload PV Kick-off;1. Joindre PV Kick-off;Upload réussi;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Planification;PLAN-13;Validation;DSI;Champ Planning validé par DSI;1. Ouvrir la fiche projet;Champ Oui / Non visible avec date et utilisateur;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Planification;PLAN-14;Validation;Directeur métier;Champ Planning validé par Directeur métier;1. Ouvrir la fiche projet;Champ Oui / Non visible avec date et utilisateur;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Planification;PLAN-15;Validation;DSI;Validation du planning;1. Cocher valider;Validation enregistrée avec date et utilisateur;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Planification;PLAN-16;Validation;Directeur métier;Validation du planning;1. Cocher valider;Validation enregistrée avec date et utilisateur;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Planification;PLAN-17;Contrôle workflow;Système;Validation unique insuffisante;1. Valider uniquement côté DSI ou métier;Le projet reste en phase Planification;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Planification;PLAN-18;Transition workflow;Système;Double validation requise;1. Valider côté DSI et métier;Statut = En exécution ; Phase = Exécution et suivi;Non testé;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Exécution;EXEC-01;Documents;Chef de projet;Upload compte-rendu de réunion;1. Accéder à la phase Exécution 2. Joindre un fichier;Upload réussi et document visible dans le projet;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Exécution;EXEC-02;Documents;Chef de projet;Upload rapport d'avancement;1. Joindre fichier rapport;Upload réussi;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Exécution;EXEC-03;Commentaires;Chef de projet;Champ commentaire d'avancement;1. Ouvrir la phase Exécution;Champ commentaire visible et modifiable;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Exécution;EXEC-04;Avancement;Chef de projet;Champ % d'avancement;1. Ouvrir la phase Exécution;Champ visible et modifiable;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Exécution;EXEC-05;Avancement;Chef de projet;Saisie 0 %;1. Entrer 0 dans le champ avancement;Valeur acceptée;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Exécution;EXEC-06;Avancement;Chef de projet;Saisie 50 %;1. Entrer 50;Valeur acceptée;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Exécution;EXEC-07;Avancement;Chef de projet;Saisie 100 %;1. Entrer 100;Valeur acceptée;Non testé;Majeure;Test standard;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Exécution;EXEC-08;Avancement;Système;Saisie >100 %;1. Entrer 150;Blocage de la saisie;Non testé;Bloquante;Test critique - couverture complète requise;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Exécution;EXEC-09;Avancement;Système;Saisie négative;1. Entrer -1;Blocage de la saisie;Non testé;Bloquante;Test critique - couverture complète requise;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
